"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g16","V","101","1346","340","678","53","3","14","5","0","10","2","241","661","685","108","58","53","9","9","22","14","4","0","0","0","0","3","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","4","5","4","0","0","14","16","14","25","28","44","0","16","28","18","40","47","50","0","24","39","51","56","89","93","0","13","42","45","65","77","84","0","10","19","31","17","23","21","0","14","24","18","25","25","14","0","1","10","8","6","12","10","0","2","6","9","6","10","7","117","19","27","15","32","14","33","4","79","186","50","83","41","60","29","52","26","151","89","30","24","18","17","7","20","7","29","39","13","3","7","6","4","4","0","11"
"g16","V","102","1675","337","975","61","1","20","17","0","8","0","256","818","857","49","69","21","8","8","25","5","3","0","0","0","0","2","1","3","0","0","0","0","0","0","0","0","0","2","0","0","0","1","4","0","0","0","6","17","8","15","40","54","0","3","18","19","33","56","68","0","11","44","54","68","143","176","0","13","37","50","87","144","148","0","10","16","21","17","26","37","0","4","19","25","31","30","20","0","1","7","11","12","15","9","0","1","7","9","9","15","11","121","25","35","21","23","15","31","13","53","319","70","100","54","74","49","82","19","208","111","22","29","14","20","9","16","2","33","49","14","13","7","7","4","4","2","7"
"g16","V","103","1124","238","665","39","2","10","5","0","4","0","161","564","560","35","45","21","3","9","23","3","3","0","0","0","0","2","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","1","2","0","0","6","11","6","13","21","42","0","7","14","15","26","40","37","0","21","36","45","59","87","93","0","10","37","29","64","76","108","0","5","17","22","12","24","10","0","6","15","11","12","18","9","0","3","4","2","6","8","11","0","3","9","2","3","4","5","83","15","6","7","28","9","23","6","61","172","31","68","45","35","24","51","37","202","50","15","18","11","17","4","16","7","23","22","6","12","4","3","0","4","0","9"
"g16","V","104","710","152","407","32","0","6","6","0","1","0","106","357","353","18","22","6","1","5","14","5","4","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","3","6","4","10","12","32","0","1","6","3","15","22","38","0","9","17","17","23","69","82","0","7","14","17","27","57","68","0","5","11","9","4","15","11","0","8","9","7","8","11","8","0","2","3","2","2","6","3","0","1","5","9","4","6","2","53","11","7","5","9","10","10","9","38","99","26","32","32","33","20","45","9","111","40","10","20","4","12","2","6","4","8","24","4","0","3","2","4","2","1","5"
"g16","V","105","563","121","287","17","1","4","9","0","4","1","119","276","287","10","10","5","1","5","11","3","2","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","1","1","0","0","1","0","0","0","0","3","4","3","2","11","21","0","4","10","9","11","20","23","0","12","17","7","21","42","48","0","2","13","7","28","38","52","0","4","8","13","8","17","11","0","5","6","8","17","13","9","0","0","8","3","4","5","4","0","2","1","3","1","3","2","33","6","13","6","6","6","6","2","43","62","17","25","14","13","20","25","12","99","38","17","11","8","14","4","12","2","13","15","4","5","1","4","1","3","0","3"
"g16","V","106","1247","265","744","34","2","10","8","0","1","0","183","613","634","50","38","16","2","7","24","8","5","0","1","0","0","0","1","0","0","0","0","1","0","1","2","4","0","0","0","0","0","1","7","1","0","0","6","12","11","21","26","44","0","4","19","16","22","41","43","0","25","30","38","54","94","139","0","16","28","37","67","107","109","0","4","10","13","13","26","21","0","9","15","20","22","19","11","0","2","3","6","8","3","4","0","2","5","4","5","8","5","74","21","19","11","37","11","22","9","61","192","53","73","38","50","37","83","28","190","67","15","20","11","24","4","20","5","17","21","9","6","6","3","1","2","2","5"
"g16","V","107","431","122","218","8","0","4","6","0","2","0","71","198","233","55","23","20","10","4","5","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","3","3","4","9","14","16","0","6","10","9","12","13","23","0","5","13","21","24","19","23","0","7","12","21","16","29","28","0","3","7","9","4","8","5","0","5","8","7","7","8","0","0","2","4","1","1","0","0","0","4","3","3","2","0","0","36","7","9","7","4","6","19","2","32","61","16","26","16","20","5","18","5","51","21","10","10","6","7","1","9","1","6","10","1","6","0","2","0","0","0","1"
"g16","V","108","1317","391","617","41","3","11","10","0","3","1","240","586","731","86","47","54","12","20","32","4","2","0","2","1","0","0","0","0","0","2","0","1","0","3","2","1","0","0","0","0","0","0","3","1","0","0","13","17","18","22","25","56","0","15","28","28","37","45","87","0","10","23","36","41","53","133","0","11","24","32","48","44","162","0","9","14","26","14","16","25","0","15","28","26","18","17","32","0","3","5","7","3","9","8","0","3","10","5","5","4","7","176","25","27","15","31","34","28","8","47","179","54","58","32","37","62","54","29","112","109","17","39","12","20","16","12","5","10","33","9","11","5","6","2","1","1","1"
"g16","V","109","1272","471","465","34","2","10","13","1","10","0","266","571","701","103","23","30","6","11","11","13","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","2","3","1","0","16","33","30","23","41","44","0","21","41","37","34","71","80","0","7","20","20","37","64","70","0","15","23","25","31","68","85","0","9","31","19","26","25","17","0","9","35","22","33","27","13","0","5","12","6","7","5","4","0","4","5","3","5","6","8","189","40","39","25","39","24","38","8","69","128","30","40","23","29","16","36","17","146","123","16","33","10","21","7","18","8","30","37","4","11","5","4","2","2","0","5"
"g16","V","110","695","225","288","20","1","11","7","0","8","1","134","312","383","32","16","27","8","8","9","2","2","0","0","0","0","2","1","0","0","1","2","1","0","2","1","0","0","0","0","0","0","2","1","0","0","0","5","19","8","11","18","26","0","11","27","15","19","33","33","0","4","9","12","21","42","53","0","5","12","13","25","49","43","0","6","12","7","10","14","7","0","6","20","14","15","18","5","0","3","7","2","1","7","8","0","1","8","2","4","3","2","105","12","18","10","13","13","9","7","38","86","18","25","18","14","12","26","7","82","56","15","14","18","8","2","5","1","15","25","8","4","4","1","0","0","1","5"
