"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g18","R","101","1848","438","810","61","7","24","15","0","12","3","478","911","937","152","95","147","14","11","23","15","4","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","4","5","6","1","0","14","35","26","26","34","49","0","26","37","33","35","59","64","0","30","62","73","55","96","112","0","21","56","62","66","85","92","0","36","52","55","25","32","35","0","34","60","59","26","41","23","0","3","12","13","8","14","14","0","4","10","11","4","18","11","108","105","21","24","15","37","13","38","77","211","148","41","74","39","53","26","54","164","198","99","34","30","25","19","9","26","38","35","37","9","5","8","6","3","4","15"
"g18","R","102","2103","417","1112","76","1","20","17","0","13","0","447","1042","1061","70","76","46","8","10","34","10","5","0","0","0","0","1","1","3","1","0","1","1","0","0","0","0","1","2","0","0","0","1","3","3","0","0","12","22","15","21","36","69","0","9","24","28","35","57","89","0","23","51","58","71","165","211","0","16","49","53","92","153","170","0","21","42","35","37","41","55","0","16","35","48","40","44","33","0","4","14","6","10","13","10","0","9","11","12","8","17","13","147","86","16","30","18","23","14","26","57","346","224","51","76","48","58","43","65","201","204","88","24","29","14","29","7","17","35","41","44","9","9","6","3","2","4","9"
"g18","R","103","1399","286","715","52","3","14","12","0","5","0","312","698","701","58","51","51","12","11","20","5","3","0","1","2","0","3","1","0","0","0","0","3","0","0","2","0","0","0","0","0","0","1","3","0","1","0","13","21","11","16","23","37","0","13","22","18","23","42","47","0","23","45","49","54","86","107","0","19","43","47","64","72","106","0","19","31","33","25","31","23","0","20","34","26","22","24","24","0","3","11","7","5","12","13","0","2","10","5","5","8","5","79","55","13","9","5","29","6","17","73","173","129","26","55","34","30","19","52","197","119","70","22","22","18","17","3","13","28","28","20","5","13","6","4","0","3","7"
"g18","R","104","828","172","435","31","0","6","8","0","4","1","171","412","416","20","26","14","2","5","18","5","3","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","4","7","4","8","18","33","0","6","11","4","10","23","44","0","8","27","20","19","67","94","0","5","16","21","16","59","83","0","7","10","12","8","19","23","0","9","19","11","14","22","17","0","2","5","6","1","9","1","0","3","4","6","3","6","4","58","39","7","3","2","6","8","11","38","80","85","22","27","27","33","17","39","105","64","33","12","15","3","11","3","9","21","23","9","2","0","1","3","4","2","6"
"g18","R","105","640","137","316","22","0","7","11","0","6","0","141","315","325","17","11","12","3","7","10","3","2","0","0","0","0","0","0","0","0","0","4","6","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","8","9","3","8","23","0","3","11","8","18","17","28","0","16","17","12","23","46","45","0","6","17","11","28","37","58","0","5","15","9","12","17","15","0","6","11","10","14","17","10","0","2","8","7","3","5","6","0","3","3","1","2","2","4","35","25","5","15","5","2","6","5","39","58","60","14","26","13","12","17","25","91","41","36","11","10","5","10","4","11","13","12","12","2","4","3","3","1","3","6"
"g18","R","106","1464","285","833","39","2","19","12","0","3","0","271","729","735","49","54","38","5","6","24","11","6","0","1","1","0","0","1","0","0","0","0","1","0","1","2","6","1","0","0","1","0","1","7","2","0","0","9","10","9","24","18","53","0","7","12","19","23","50","51","0","30","41","61","56","94","150","0","14","31","52","63","111","130","0","16","16","20","19","37","27","0","14","26","20","28","27","21","0","8","5","8","5","8","5","0","3","7","5","3","9","9","60","58","14","20","10","34","9","19","61","177","154","40","69","38","53","34","72","196","98","54","15","18","15","25","4","22","20","29","17","8","4","6","2","1","1","7"
"g18","R","107","542","148","239","9","3","5","7","1","1","0","129","254","288","73","30","48","13","3","3","1","0","0","1","0","0","0","0","0","1","0","2","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","6","6","3","11","12","24","0","8","13","8","18","15","24","0","5","16","19","23","26","28","0","7","12","25","17","23","38","0","13","10","14","10","11","5","0","9","17","16","7","16","1","0","2","4","4","1","1","0","0","5","5","3","1","0","0","27","30","11","5","7","4","4","21","39","55","46","13","25","13","19","3","18","47","41","25","15","9","5","7","4","9","14","8","8","2","4","2","0","0","0","2"
"g18","R","108","1571","520","477","34","7","25","13","0","6","0","489","717","854","167","54","169","22","17","19","18","0","0","1","1","0","1","0","0","0","0","0","0","0","4","1","2","0","1","0","0","0","2","4","4","2","0","29","52","24","27","34","49","0","30","52","38","48","67","70","0","14","35","27","38","50","74","0","15","37","20","20","57","90","0","32","50","46","34","28","29","0","30","67","54","52","44","23","0","9","11","10","3","7","5","0","3","11","8","5","7","6","175","135","21","28","20","23","13","27","78","131","97","19","34","19","18","15","30","114","203","123","21","42","14","22","10","21","33","37","19","0","11","2","7","2","2","5"
"g18","R","109","1744","431","848","50","0","18","8","0","3","1","385","832","912","69","64","59","8","18","37","8","3","0","2","1","0","0","0","1","0","3","0","1","0","1","1","1","1","0","0","4","0","2","8","3","0","0","12","17","16","25","28","77","0","15","21","28","33","51","108","0","24","33","57","65","82","158","0","14","41","52","78","68","176","0","21","36","40","33","22","44","0","18","29","35","26","30","51","0","4","8","9","7","8","6","0","4","8","3","9","7","7","139","87","16","22","16","37","28","23","63","204","153","50","56","39","60","50","72","164","149","84","18","35","15","20","26","15","23","34","17","6","10","3","3","2","0","5"
"g18","R","110","835","282","289","34","2","9","8","0","7","1","203","398","437","49","19","32","9","5","10","8","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","1","1","0","0","10","19","13","16","25","34","0","9","21","29","19","34","53","0","12","28","10","26","33","34","0","8","20","21","16","33","48","0","10","30","28","12","17","14","0","9","19","15","19","20","10","0","0","11","3","7","5","1","0","3","6","6","4","8","7","85","64","13","16","15","20","13","16","40","88","58","18","11","9","12","7","15","71","87","47","7","13","6","13","4","8","18","22","16","4","3","6","2","2","1","5"
