"county","srprec","city","n_in_city","n"
"40","101A","SAN MIGUEL","579","586"
"40","101B","PASO ROBLES","1665","3596"
"40","102B","PASO ROBLES","536","536"
"40","103","PASO ROBLES","2863","3257"
"40","104","PASO ROBLES","1605","1605"
"40","105","SHANDON","608","628"
"40","106","PASO ROBLES","3222","3222"
"40","107","PASO ROBLES","1135","1135"
"40","108","PASO ROBLES","2245","2245"
"40","109","PASO ROBLES","3190","3190"
"40","110","PASO ROBLES","2810","2810"
"40","111A","PASO ROBLES","1979","1980"
"40","111B","PASO ROBLES","1","1"
"40","112","PASO ROBLES","3992","3993"
"40","113","PASO ROBLES","368","752"
"40","114","TEMPLETON","2811","3055"
"40","115","TEMPLETON","1973","2075"
"40","201","CAMBRIA","2170","2171"
"40","202","CAMBRIA","2349","2349"
"40","203A","CAMBRIA","245","517"
"40","203B","CAYUCOS","18","20"
"40","204A","CAYUCOS","245","248"
"40","204B","MORRO BAY","30","34"
"40","205","CAYUCOS","2059","2059"
"40","206","MORRO BAY","2246","2246"
"40","207","MORRO BAY","1906","1906"
"40","208","MORRO BAY","2667","2667"
"40","209","MORRO BAY","1406","1406"
"40","210","LOS OSOS","2700","2700"
"40","211","LOS OSOS","2332","2332"
"40","212","LOS OSOS","3004","3004"
"40","213","LOS OSOS","2642","2642"
"40","214","SAN LUIS OBISPO","1102","1102"
"40","215","SAN LUIS OBISPO","1502","1502"
"40","216","SAN LUIS OBISPO","2905","2905"
"40","217","SAN LUIS OBISPO","729","730"
"40","301","SAN LUIS OBISPO","1956","1956"
"40","302","SAN LUIS OBISPO","2773","2773"
"40","303","SAN LUIS OBISPO","3488","3488"
"40","304","SAN LUIS OBISPO","3339","3339"
"40","305","SAN LUIS OBISPO","2863","2863"
"40","306","SAN LUIS OBISPO","3405","3406"
"40","307","SAN LUIS OBISPO","1303","1303"
"40","308","AVILA BEACH","1034","1838"
"40","309","PISMO BEACH","777","777"
"40","310","PISMO BEACH","3359","3359"
"40","311","PISMO BEACH","2399","2399"
"40","312","GROVER BEACH","2977","2977"
"40","313","GROVER BEACH","3067","3067"
"40","314","GROVER BEACH","2162","2162"
"40","315","ARROYO GRANDE","2008","2056"
"40","401","ARROYO GRANDE","2523","2523"
"40","402","ARROYO GRANDE","2608","2608"
"40","403","ARROYO GRANDE","2390","2390"
"40","404","ARROYO GRANDE","3163","3163"
"40","405","ARROYO GRANDE","2610","2610"
"40","406","ARROYO GRANDE","2619","2873"
"40","407","ARROYO GRANDE","2967","2985"
"40","408","NIPOMO","1972","1972"
"40","409","NIPOMO","948","1404"
"40","410","NIPOMO","3098","3098"
"40","411","NIPOMO","2024","2024"
"40","412","NIPOMO","3069","3069"
"40","413","NIPOMO","2582","2586"
"40","414","OCEANO","1488","1701"
"40","415","OCEANO","2514","2514"
"40","501","ATASCADERO","2287","2287"
"40","502","ATASCADERO","2422","2422"
"40","503","ATASCADERO","2464","2464"
"40","504","ATASCADERO","1956","1956"
"40","505","ATASCADERO","103","103"
"40","506","ATASCADERO","2211","2211"
"40","507","ATASCADERO","2265","2265"
"40","508","ATASCADERO","2162","2162"
"40","509","ATASCADERO","2478","2478"
"40","510","ATASCADERO","1914","1914"
"40","511","CRESTON","970","1645"
"40","512","TEMPLETON","1072","1119"
"40","513A","PASO ROBLES","768","768"
"40","513B","PASO ROBLES","909","1165"
"40","514","PASO ROBLES","203","203"
"40","515","ATASCADERO","1602","2049"
"40","516B","ATASCADERO","212","212"
"40","517","SANTA MARGARITA","898","898"
"40","518","SAN LUIS OBISPO","2660","2660"
"40","519","SAN LUIS OBISPO","2816","2816"
"40","520","SAN LUIS OBISPO","1924","1924"
"40","521","SAN LUIS OBISPO","112","112"
"40","MB01A","ARROYO GRANDE","255","277"
"40","MB01B","NIPOMO","780","1639"
"40","MB02","PASO ROBLES","395","426"
"40","MB03","ATASCADERO","298","588"
"40","MB06A","SAN LUIS OBISPO","931","931"
"40","MB06B","SAN LUIS OBISPO","122","222"
"40","MB07A","SAN LUIS OBISPO","719","1521"
"40","MB07B","SAN LUIS OBISPO","33","33"
"40","MB08","SHANDON","32","55"
"40","MB13A","PASO ROBLES","578","923"
"40","MB13B","TEMPLETON","22","29"
"40","MB15","SAN LUIS OBISPO","50","50"
"40","MB16A","ATASCADERO","154","154"
"40","MB17","CUYAMA","3","5"
"40","MB35","CRESTON","40","65"
