"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","PR_51_N","PR_51_Y","PR_52_N","PR_52_Y","PR_53_N","PR_53_Y","PR_54_N","PR_54_Y","PR_55_N","PR_55_Y","PR_56_N","PR_56_Y","PR_57_N","PR_57_Y","PR_58_N","PR_58_Y","PR_59_N","PR_59_Y","PR_60_N","PR_60_Y","PR_61_N","PR_61_Y","PR_62_N","PR_62_Y","PR_63_N","PR_63_Y","PR_64_N","PR_64_Y","PR_65_N","PR_65_Y","PR_66_N","PR_66_Y","PR_67_N","PR_67_Y","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","SENDEM01","SENDEM02","SENLIB01","SENREP01","USSDEM01","USSDEM02"
"42","10-1002","37","24","19","2","154","0","0","0","0","0","0","0","0","0","142","0","0","0","0","0","0","0","0","0","0","0","75","0","51","0","0","0","82","0","0","51","64","69","43","85","67","59","39","90","60","72","36","100","26","111","44","93","48","74","68","59","57","69","47","89","37","100","40","95","75","60","75","49","37","99","95","2","3","0","37","84","0","0","48","79","39"
"42","10-1003","37","24","19","2","18","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","8","0","0","4","5","7","4","8","6","6","3","9","4","8","4","8","4","7","4","8","4","8","7","3","4","8","3","8","4","8","7","5","10","2","8","3","4","7","6","0","1","0","4","8","0","0","4","5","3"
"42","10-1004","37","24","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","10-1005","37","24","19","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","10-1006","37","24","19","2","335","0","0","0","0","0","0","0","0","0","294","0","0","0","0","0","0","0","0","0","0","0","179","0","67","0","0","0","199","0","0","77","109","162","60","200","156","116","76","189","94","179","74","206","54","216","49","231","89","178","134","132","108","154","93","188","62","223","67","216","171","103","161","92","66","220","215","5","4","0","58","203","0","0","72","181","57"
"42","10-1008","37","24","19","2","47","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","19","0","16","0","0","0","22","0","0","15","19","18","12","25","22","15","7","30","16","21","11","26","11","26","12","25","11","26","16","19","17","20","15","21","17","20","8","29","27","10","23","14","14","23","23","0","0","0","13","23","0","0","14","23","11"
"42","10-1009","37","24","19","2","64","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","35","0","14","0","0","0","40","0","0","12","19","30","10","36","30","17","24","22","14","35","9","40","12","35","15","33","20","25","30","15","26","20","21","28","14","35","21","31","23","27","26","17","15","35","41","0","3","0","7","39","0","0","10","34","13"
"42","10-1011","37","24","19","2","18","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","7","0","6","0","0","0","7","0","0","6","7","7","3","11","3","9","2","11","5","9","5","9","2","12","2","11","6","8","7","4","4","9","7","7","9","5","4","10","7","6","6","6","4","10","5","3","1","0","4","9","0","0","4","10","1"
"42","10-1012","37","24","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","10-1013","37","24","19","2","87","0","0","0","0","0","0","0","0","0","76","0","0","0","0","0","0","0","0","0","0","0","15","0","51","0","0","0","16","0","0","55","39","32","20","50","25","41","13","56","41","30","44","28","47","23","28","42","36","31","41","29","46","21","57","12","63","9","40","33","47","21","28","40","46","25","14","1","2","0","56","16","0","0","55","20","29"
"42","10-1014","35","24","19","2","287","0","0","0","0","0","0","0","0","0","214","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","127","0","68","0","0","140","130","79","100","105","78","126","77","128","100","108","124","85","97","108","87","121","123","72","124","70","139","60","142","65","159","53","130","83","139","62","95","97","133","68","60","6","11","4","123","81","0","0","122","82","68"
