"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"42","10-0110","37","24","19","2","2020","0","0","0","0","0","0","0","0","0","1882","0","0","0","0","0","0","0","0","0","0","0","1111","0","0","0","0","660","0","1148","0","686","6","1228","8","33","2","559","961","788","1056","767","1022","770","721","1102","1009","815","1116","657","1148","611","1248","541","824","971","1137","638","772","1009","904","865","0","1161","0","0","643"
"42","10-0120","37","24","19","2","1282","0","0","0","0","0","0","0","0","0","1178","0","0","0","0","0","0","0","0","0","0","0","741","0","0","0","0","374","0","773","0","375","0","809","7","14","4","325","553","541","619","530","613","514","405","741","583","560","652","462","761","345","765","354","523","586","665","450","445","673","505","598","0","768","0","0","367"
"42","10-0610","37","24","19","2","4382","0","0","0","0","0","0","0","0","0","4074","0","0","0","0","0","0","0","0","0","0","0","2265","0","0","0","0","1597","0","2406","0","1585","11","2633","13","57","4","1258","2280","1584","2322","1615","2231","1622","1571","2349","2206","1722","2299","1537","2484","1324","2900","963","1575","2273","2523","1299","1755","2090","2034","1735","0","2383","0","0","1537"
"42","10-0710","37","24","19","2","1221","0","0","0","0","0","0","0","0","0","1158","0","0","0","0","0","0","0","0","0","0","0","707","0","0","0","0","367","0","763","0","359","0","821","7","11","2","293","600","480","590","514","556","518","358","746","555","552","598","468","691","349","768","300","502","582","626","433","420","654","516","526","0","751","0","0","353"
"42","10-0910","37","24","19","2","1842","0","0","0","0","0","0","0","0","0","1733","0","0","0","0","0","0","0","0","0","0","0","1300","0","0","0","0","363","0","1337","0","369","9","1375","11","17","3","292","850","801","724","962","725","915","427","1247","665","1016","888","741","1222","381","1080","559","860","783","910","698","607","1027","605","1000","0","1324","0","0","354"
"42","10-1001","37","24","19","2","124","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","79","0","0","0","0","31","0","84","0","29","0","86","1","2","0","26","54","54","48","62","58","52","38","75","51","61","57","51","75","33","73","36","53","58","52","55","37","76","44","65","0","79","0","0","32"
"42","10-1002","37","24","19","2","35","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","15","0","20","0","12","1","22","0","0","0","10","19","13","25","7","23","9","15","17","22","8","17","14","20","9","26","4","14","16","19","11","14","16","16","14","0","19","0","0","13"
"42","10-1003","37","24","19","2","16","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","6","0","13","0","3","0","12","0","1","0","3","7","9","10","5","10","6","9","7","8","8","8","8","10","6","11","5","7","8","8","8","7","9","12","4","0","9","0","0","6"
"42","10-1004","37","24","19","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","1","1","0","2","0","2","0","2","1","1","1","1","2","0","2","0","0","2","0","2","0","2","0","2","0","0","0"
"42","10-1005","37","24","19","2","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","3","0","3","1","2","0","3","0","3","1","2","3","0","0","3","3","0","2","1","0","3","1","2","0","3","0","0","0"
"42","10-1007","37","24","19","2","25","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","8","0","14","0","10","0","19","0","0","0","4","19","4","11","13","12","11","11","12","14","9","11","12","15","6","22","1","7","17","17","7","14","9","14","9","0","14","0","0","8"
"42","10-1008","37","24","19","2","350","0","0","0","0","0","0","0","0","0","330","0","0","0","0","0","0","0","0","0","0","0","234","0","0","0","0","78","0","243","0","82","0","247","0","6","3","69","163","150","154","165","147","164","98","223","147","175","167","148","223","81","214","97","157","151","188","121","126","187","123","176","0","235","0","0","82"
"42","10-1009","37","24","19","2","225","0","0","0","0","0","0","0","0","0","217","0","0","0","0","0","0","0","0","0","0","0","164","0","0","0","0","42","0","169","0","42","0","173","0","1","0","39","107","90","80","127","89","118","50","158","88","119","114","87","155","42","138","66","120","82","112","91","60","142","59","140","0","166","0","0","43"
"42","10-1010","37","24","19","2","33","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","12","0","17","0","11","0","18","0","1","0","10","20","8","19","9","17","10","9","19","13","15","22","5","16","10","25","2","12","13","16","10","11","16","18","9","0","16","0","0","12"
"42","10-1011","37","24","19","2","26","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","1","0","23","0","3","0","25","0","0","0","1","15","9","11","15","9","14","5","20","11","15","16","7","20","4","14","11","14","10","13","11","7","17","8","15","0","25","0","0","1"
"42","10-1012","37","24","19","2","40","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","11","0","29","0","10","0","27","0","2","0","9","19","17","18","21","15","22","14","23","17","20","22","15","22","15","23","12","15","22","28","10","18","18","18","18","0","30","0","0","9"
"42","10-1013","37","24","19","2","26","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","8","0","14","0","6","0","11","0","2","0","5","10","10","10","10","10","10","3","17","8","12","11","9","15","4","13","7","9","8","11","9","6","13","6","12","0","14","0","0","6"
"42","10-1014","37","24","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","10-1015","37","24","19","2","81","0","0","0","0","0","0","0","0","0","72","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","52","0","18","0","54","0","21","0","0","0","51","44","23","60","9","54","16","45","23","53","15","43","24","31","36","59","8","17","51","53","16","43","25","53","11","0","22","0","0","50"
"42","10-1016","35","24","19","2","295","0","0","0","0","0","0","0","0","0","232","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","159","0","87","0","142","1","76","2","3","2","142","149","78","162","66","169","57","146","79","183","44","131","91","106","116","177","48","73","151","185","38","125","96","164","57","0","93","0","0","133"
"42","11-1117","37","24","19","2","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","0","2","2","0","0","2","1","1","1","1","2","0","2","0","2","0","0","2","0","2","0","2","0","2","0","0","0"
"42","11-1710","37","24","19","2","7962","0","0","0","0","0","0","0","0","0","7150","0","0","0","0","0","0","0","0","0","0","0","4867","0","0","0","0","1981","0","4911","0","2117","22","5052","26","78","17","1810","3348","3528","3406","3558","3631","3229","2540","4403","3602","3364","3361","3448","4589","2189","3847","3002","3348","3526","3963","2891","2610","4201","3280","3436","0","5030","0","0","1944"
